Provider,Tier,Latest Version,Latest Version Published,Created At,Days Since Update,,Protocol v4,Protocol v5,Protocol v6,,Cohort: Framework only,Cohort: SDKv2 only,Cohort: Framework+SDKv2,,Managed Resources,Resource Identities,Data Sources,Ephemeral Resources,List Resources,Actions,Provider Functions,Guides,Total Features,,Downloads,Version Count,Subcategories
accuknox/accuknox,partner,1.0.0,2023-11-02,2023-11-02,927,,,✅,,,,✅,,,8,0,10,0,0,0,0,0,18,,3.5K,1,2
AceCloudAI/acecloud,community,0.1.0,2026-05-15,2026-05-15,2,,,,✅,,✅,,,,21,0,5,0,0,0,0,6,26,,0,1,8
achernevskii/b1ddi,community,0.1.0,2022-02-03,2022-02-07,1564,,,✅,,,,✅,,,9,0,9,0,0,0,0,0,18,,5.0K,2,0
ackama/statuscake,community,0.1.0,2021-10-10,2021-10-10,1680,,,✅,,,,✅,,,2,0,0,0,0,0,0,0,2,,4.2K,1,0
Ackers-BUD/http2b64,community,1.0.3,2023-05-29,2022-11-22,1084,,,,✅,,✅,,,,1,0,0,0,0,0,0,0,1,,38.3K,2,0
Ackers-BUD/zip2b64,community,1.0.3,2023-05-29,2022-11-23,1084,,,,✅,,✅,,,,1,0,0,0,0,0,0,0,1,,38.8K,3,0
acobaugh/cloudamqp,community,1.19.1-acobaugh.4,2022-08-09,2022-08-09,1377,,,✅,,,,✅,,,17,0,12,0,0,0,0,4,29,,5.6K,4,1
acroca/imgix,community,2.0.6,2022-07-05,2022-07-05,1412,,,✅,,,,✅,,,1,0,1,0,0,0,0,0,2,,72.0K,1,0
acsbe/zuora,community,0.0.2,2025-05-27,2025-05-26,355,,,✅,,,,✅,,,0,0,0,0,0,0,0,0,0,,249,2,0
adam-tylr/crane,community,0.2.1,2026-03-21,2025-06-22,57,,,,✅,,✅,,,,1,0,2,0,0,0,0,0,3,,23.9K,4,0
adamantal/dreamhost,community,0.3.2,2023-07-28,2023-05-04,1024,,,✅,,,,✅,,,1,0,0,0,0,0,0,0,1,,286.9K,4,0
AdamCoulterOz/azurehelpers,community,0.2.0,2022-04-13,2021-07-06,1495,,,✅,,,,✅,,,0,0,1,0,0,0,0,0,1,,5.0M,2,0
AdamJacobMuller/sealedsecret,community,0.0.10,2024-08-16,2022-10-13,639,,,,✅,,✅,,,,0,0,0,0,0,0,0,0,0,,13.9K,3,0
AdamLovattDevOps/bitbucket,community,2.22.8-pre,2022-05-29,2022-05-25,1449,,,✅,,,,✅,,,17,0,11,0,0,0,0,0,28,,51.9K,15,0
adampie/ctf,community,0.0.3,2025-12-29,2025-12-29,139,,,,✅,,✅,,,,1,0,1,1,0,1,1,0,5,,118,1,0
Adaptavist/bpr,community,1.0.4,2021-11-04,2021-10-18,1655,,,✅,,,,✅,,,1,0,0,0,0,0,0,0,1,,23.3K,5,0
adaptive-scale/adaptive,community,0.1.29,2026-03-19,2023-04-24,59,,,✅,,,,✅,,,5,0,0,0,0,0,0,0,5,,40.5K,49,0
AdconnectDevOps/pingdom,community,1.4.1,2026-05-15,2025-08-28,2,,,✅,,,,✅,,,4,0,2,0,0,0,0,3,6,,439,7,0
