Provider,Tier,Latest Version,Latest Version Published,Created At,Days Since Update,,Protocol v4,Protocol v5,Protocol v6,,Cohort: Framework only,Cohort: SDKv2 only,Cohort: Framework+SDKv2,,Managed Resources,Resource Identities,Data Sources,Ephemeral Resources,List Resources,Actions,Provider Functions,Guides,Total Features,,Downloads,Version Count,Subcategories
anschoewe/curl,community,1.0.2,2022-06-02,,1455,,,✅,,,,✅,,,0,0,1,0,0,0,0,0,1,,8.2M,6,0
NetApp/netapp-cloudmanager,partner,27.1.0,2026-03-20,,68,,,,✅,,✅,,,,17,0,5,0,0,0,0,2,22,,8.2M,83,0
akeyless-community/akeyless,community,2.0.1,2026-04-27,,30,,,✅,,,,✅,,,157,0,23,0,0,0,0,0,180,,8.1M,77,0
Edge-Center/edgecenter,community,0.12.7,2026-05-19,,9,,,✅,,,,✅,,,57,0,37,0,0,0,0,0,94,,8.1M,115,0
env0/env0,community,1.31.1,2026-05-20,,8,,,✅,,,,✅,,,62,0,50,0,0,0,0,0,112,,8.1M,200,0
metio/git,community,2026.5.22,2026-05-22,,6,,,,✅,,✅,,,,7,0,12,0,0,0,0,0,19,,8.0M,135,0
F5Networks/bigip,partner,1.26.0,2026-03-25,,63,,,✅,,,,✅,,,79,0,17,0,0,0,0,2,96,,7.9M,52,8
vercel/vercel,partner,5.3.0,2026-05-20,,8,,,,✅,,✅,,,,43,0,37,0,0,0,0,0,80,,7.9M,139,0
salrashid123/http-full,community,1.3.1,2022-09-06,,1360,,,✅,,,,✅,,,0,0,1,0,0,0,0,0,1,,7.8M,13,0
equinix/equinix,partner,4.15.0,2026-04-02,,55,,,✅,,,,✅,,,44,0,66,0,0,0,0,6,110,,7.8M,130,3
DopplerHQ/doppler,community,1.21.3,2026-05-26,,1,,,✅,,,,✅,,,62,0,4,0,0,0,0,0,66,,7.7M,40,6
tlkamp/validation,community,1.1.3,2024-08-10,,655,,,✅,,,,✅,,,4,0,4,0,0,0,0,0,8,,7.7M,5,0
winebarrel/mysql,community,1.10.6,2021-08-24,,1738,,,✅,,,,✅,,,5,0,0,0,0,0,0,0,5,,7.6M,13,0
dnsimple/dnsimple,partner,2.1.2,2026-05-14,,14,,,,✅,,✅,,,,9,0,3,0,0,0,0,2,12,,7.6M,44,0
chainguard-dev/imagetest,partner,0.1.5,2026-05-19,,9,,,,✅,,✅,,,,8,0,1,0,0,0,0,0,9,,7.6M,137,0
alexkappa/auth0,community,0.26.2,2022-01-31,,1577,,,✅,,,,✅,,,22,0,0,0,0,0,0,0,22,,7.5M,27,0
G-Core/gcore,partner,2.0.0-alpha.8,2026-05-20,,8,,,,✅,,✅,,,,45,0,70,0,0,0,0,0,115,,7.4M,200,0
fivetran/fivetran,partner,1.9.30,2026-04-23,,34,,,✅,,,,✅,,,27,0,48,0,0,1,0,9,76,,7.4M,137,0
tailscale/tailscale,community,0.29.2,2026-05-26,,1,,,✅,,,,✅,,,20,0,7,0,0,0,0,0,27,,7.3M,30,0
PaloAltoNetworks/panos,partner-premier,2.0.11,2026-04-28,,29,,,,✅,,✅,,,,121,0,121,2,0,2,2,3,248,,7.2M,34,6
NikolaLohinski/jinja,community,2.4.3,2025-03-22,,431,,,✅,,,,✅,,,0,0,1,0,0,0,0,0,1,,7.2M,47,0
jfrog/platform,partner,2.2.10,2026-05-07,,21,,,,✅,,✅,,,,18,0,0,0,0,0,0,0,18,,7.2M,48,12
coralogix/coralogix,partner,3.4.1,2026-05-20,,8,,,✅,,,,✅,,,34,0,31,0,0,0,0,4,65,,7.1M,206,0
